Model,Accuracy,Precision,Recall,F1-Score,ROC-AUC
Logistic Regression (Baseline),0.8490566037735849,0.5294117647058824,0.06976744186046512,0.1232876712328767,0.6994210305010188
SVM (Baseline),0.6438679245283019,0.23867069486404835,0.6124031007751938,0.34347826086956523,0.6999169820271479
Random Forest (Baseline),0.8419811320754716,0.35294117647058826,0.046511627906976744,0.0821917808219178,0.6402788110101238
Logistic Regression + K-Means,0.8466981132075472,0.47368421052631576,0.06976744186046512,0.12162162162162163,0.6990760207437118
SVM + K-Means,0.6450471698113207,0.23939393939393938,0.6124031007751938,0.3442265795206972,0.700261991784455
Random Forest + K-Means,0.8419811320754716,0.3076923076923077,0.031007751937984496,0.056338028169014086,0.633162984765663
Logistic Regression + GMM,0.8466981132075472,0.4666666666666667,0.05426356589147287,0.09722222222222222,0.6975558215005768
SVM + GMM,0.6474056603773585,0.24397590361445784,0.627906976744186,0.351409978308026,0.7009627928539852
Random Forest + GMM,0.839622641509434,0.18181818181818182,0.015503875968992248,0.02857142857142857,0.6449364427337712
Logistic Regression + Hierarchical,0.847877358490566,0.5,0.06976744186046512,0.12244897959183673,0.6986016323274142
SVM + Hierarchical,0.6367924528301887,0.2344213649851632,0.6124031007751938,0.33905579399141633,0.6994641567206822
Random Forest + Hierarchical,0.8431603773584906,0.3333333333333333,0.031007751937984496,0.05673758865248227,0.6422141001175189
Logistic Regression + Combined,0.8443396226415094,0.4,0.046511627906976744,0.08333333333333333,0.6975019137259976
SVM + Combined,0.6485849056603774,0.24776119402985075,0.6434108527131783,0.3577586206896552,0.7002619917844551
Random Forest + Combined,0.8419811320754716,0.2727272727272727,0.023255813953488372,0.04285714285714286,0.6434324158230099
